points_last_5,minutes_per_game_last_5,goals_last_5,assists_last_5,bonus_points_last_5,yellow_cards_last_5,red_cards_last_5,starts_last_5,transfers_in_last_5,transfers_out_last_5,influence_last_5,creativity_last_5,threat_last_5,player_price_diff_last_5,player_price,xG_per_game_last_5,xA_per_game_last_5,xG_sum_last_5,xA_sum_last_5,home_away_current,fdr_current,actual_gw_points
14,90.0,0,2,0,0,0,4,32028,150199,40.8,14.1,116.0,-0.1,5.5,0.38,0.08,1.5,0.34,1,4,2
16,89.4,0,2,0,0,0,5,44118,77658,46.4,24.5,124.0,0.0,5.5,0.31,0.07,1.54,0.34,0,2,2
16,89.4,0,2,0,0,0,5,69561,62023,49.6,35.1,117.0,0.0,5.5,0.2,0.07,0.99,0.35,1,2,9
20,89.2,1,1,3,0,0,5,103996,62638,70.6,26.0,171.0,0.0,5.5,0.39,0.05,1.96,0.26,1,3,2
17,89.2,1,0,3,0,0,5,128931,63467,78.4,47.8,192.0,0.0,5.5,0.46,0.06,2.3,0.29,0,3,2
17,88.6,1,0,3,0,0,5,128228,70587,74.4,50.6,275.0,0.0,5.5,0.64,0.06,3.19,0.3,0,4,15
30,89.2,2,2,6,0,0,5,125773,69310,139.0,67.4,286.0,0.0,5.5,0.66,0.11,3.3,0.57,1,2,2
30,89.2,2,2,6,0,0,5,264539,64023,139.8,73.1,297.0,0.1,5.6,0.68,0.12,3.42,0.61,0,2,5
26,89.4,1,3,3,0,0,5,277021,96536,117.8,91.5,248.0,0.1,5.6,0.47,0.09,2.35,0.45,1,2,8
32,89.0,2,3,5,0,0,5,315098,114253,148.4,80.6,250.0,0.1,5.6,0.38,0.12,1.91,0.6,1,3,2
32,89.4,2,3,5,0,0,5,384682,122110,143.6,88.5,152.0,0.1,5.6,0.19,0.15,0.97,0.73,0,2,2
19,89.4,1,1,2,0,0,5,402807,185365,85.2,63.5,149.0,0.2,5.7,0.19,0.1,0.95,0.48,1,3,2
19,89.4,1,1,2,0,0,5,257779,230293,83.2,51.9,139.0,0.1,5.7,0.18,0.09,0.92,0.45,0,2,1
28,90.0,2,2,5,1,0,5,1620618,482661,119.2,122.9,116.0,0.0,7.2,0.38,0.15,1.91,0.73,1,2,17
37,90.0,4,2,6,1,0,5,1719276,923758,182.2,98.8,148.0,0.1,7.1,0.53,0.14,2.67,0.72,1,4,2
30,90.0,4,0,5,1,0,5,1797999,1012926,154.4,71.6,141.0,0.2,7.2,0.56,0.15,2.79,0.73,0,2,1
23,90.0,3,0,3,2,0,5,1660024,1035472,121.2,63.0,168.0,0.2,7.3,0.47,0.15,2.34,0.75,0,4,5
26,90.0,4,0,3,3,0,5,1238893,1288729,164.6,60.8,196.0,0.1,7.3,0.57,0.14,2.86,0.72,1,3,12
37,90.0,6,0,6,3,0,5,1235178,1153119,232.6,53.2,236.0,0.1,7.3,0.73,0.04,3.67,0.19,1,3,2
22,90.0,3,0,3,3,0,5,1487142,769339,137.6,54.2,265.0,0.3,7.4,0.67,0.05,3.35,0.23,0,2,2
22,90.0,3,0,3,3,0,5,1575395,730676,132.6,54.8,261.0,0.2,7.4,0.65,0.06,3.24,0.32,1,2,1
