points_last_5,minutes_last_5,goals_last_5,assists_last_5,clean_sheets_last_5,bonus_points_last_5,ict_index,player_position,player_price,xG_per_90,xA_per_90,home_away_current_plus_1,home_away_current_plus_2,home_away_current_plus_3,home_away_current_plus_4,home_away_current_plus_5,home_away_current_plus_6,home_away_current_plus_7,fdr_current_plus_1,fdr_current_plus_2,fdr_current_plus_3,fdr_current_plus_4,fdr_current_plus_5,fdr_current_plus_6,fdr_current_plus_7,total_points_plus_7
26,450,2,1,2,2,9.8,2,8.2,0.19,0.08,1,0,0,1,1,0,1,5,2,3,2,2,2,2,53
26,450,1,2,2,3,12.2,2,8.3,0.35,0.44,0,0,1,1,0,1,1,2,3,2,2,2,2,2,45
32,450,2,2,1,5,7.8,2,8.3,0.79,0.12,0,1,1,0,1,1,0,3,2,2,2,2,2,4,40
32,450,3,1,0,5,11.9,2,8.4,0.32,0.32,1,1,0,1,1,0,0,2,2,2,2,2,4,3,37
26,450,2,1,1,3,5.4,2,8.4,0.11,0.05,1,0,1,1,0,0,1,2,2,2,2,4,3,2,38
36,441,3,2,2,4,10.5,2,8.4,0.36,0.03,0,1,1,0,0,1,0,2,2,2,4,3,2,5,38
32,441,3,1,2,3,13.6,2,8.5,0.71,0.22,1,1,0,0,1,0,1,2,2,4,3,2,5,3,37
26,422,2,1,3,1,4.0,2,8.5,0.0,0.15,1,0,0,1,0,1,0,2,4,3,2,5,3,4,22
38,422,3,2,3,4,20.0,2,8.5,0.27,0.25,0,0,1,0,1,0,1,4,3,2,5,3,4,3,23
36,362,3,2,2,4,0.9,2,8.6,0.0,0.01,0,1,0,1,0,1,0,3,2,5,3,4,3,2,24
25,371,2,1,1,3,6.7,2,8.6,0.0,0.21,1,0,1,0,1,0,1,2,5,3,4,3,2,2,30
3,57,0,0,0,0,2.3,1,4.3,0.0,0.02,0,1,1,0,0,1,0,3,3,4,2,2,2,4,17
